NETBIOSNAME;PLATE;NREAD;DATE;TIME;IMAGENAME
IN;‭27377‬‭ﻭ‬‭16‬-MAR;2019-01-02;15-54-41-535;2019-01-02_15-54-41-535_‭27377‬‭ﻭ‬‭16‬-MAR.jpg;80%
IN;‭27377‬‭ﺍ‬‭11‬-MAR;2019-01-02;15-59-48-535;2019-01-02_15-59-48-535_‭27377‬‭ﺍ‬‭11‬-MAR.jpg;75%
IN;‭27377‬‭ﺍ‬‭11‬-MAR;2019-01-02;16-00-10-160;2019-01-02_16-00-10-160_‭27377‬‭ﺍ‬‭11‬-MAR.jpg;85%
IN;‭27377‬‭ﺍ‬‭11‬-MAR;2019-01-02;16-02-14-731;2019-01-02_16-02-14-731_‭27377‬‭ﺍ‬‭11‬-MAR.jpg;92%
IN;‭27377‬‭ﺍ‬‭11‬-MAR;2019-01-02;16-02-35-571;2019-01-02_16-02-35-571_‭27377‬‭ﺍ‬‭11‬-MAR.jpg;58%
IN;‭27377‬‭ﻭ‬‭6‬-MAR;2019-01-02;16-03-01-252;2019-01-02_16-03-01-252_‭27377‬‭ﻭ‬‭6‬-MAR.jpg;79%
IN;‭27377‬‭ﺍ‬‭11‬-MAR;2019-01-02;16-03-35-056;2019-01-02_16-03-35-056_‭27377‬‭ﺍ‬‭11‬-MAR.jpg;98%
IN;‭27377‬‭ﺍ‬‭11‬-MAR;2019-01-02;16-05-28-018;2019-01-02_16-05-28-018_‭27377‬‭ﺍ‬‭11‬-MAR.jpg;82%
IN;‭27377‬‭ﺍ‬‭11‬-MAR;2019-01-02;16-05-58-530;2019-01-02_16-05-58-530_‭27-377‬‭ﺍ‬‭11‬-MAR.jpg;85%

